t212_ticker,ticker,company_name,isin,market,currency
MO_US_EQ,MO,Altria,US02209S1033,NYSE,USD
ALLY_US_EQ,ALLY,Ally Financial,US02005N1000,NYSE,USD
IPOE_US_EQ,SOFI,SoFi Technologies,US83406F1021,NASDAQ,USD
ROKU_US_EQ,ROKU,Roku,US77543R1023,NASDAQ,USD
ASMLa_EQ,ASML,ASML,NL0010273215,EURONEXT_AMSTERDAM,EUR
CBUKd_EQ,CBUK,iShares MSCI China Tech (Acc),IE000NFR7C63,XETRA,EUR
IB1Td_EQ,IB1T,iShares Bitcoin ETP (Acc),XS2940466316,XETRA,EUR
IDUSl_EQ,IDUS,iShares Core S&P 500 USD (Dist),IE0031442068,LSE,USD
NDAQ_US_EQ,NDAQ,Nasdaq,US6311031081,NASDAQ,USD
MCp_EQ,MC,LVMH Moet Hennessy Louis Vuitton,FR0000121014,EURONEXT_PARIS,EUR
NOVCd_EQ,NOVC,Novo Nordisk,DK0062498333,XETRA,EUR
CRM_US_EQ,CRM,Salesforce,US79466L3024,NYSE,USD
PLUG_US_EQ,PLUG,Plug Power,US72919P2020,NASDAQ,USD
VEUAl_EQ,VEUA,Vanguard FTSE Developed Europe (Acc),IE00BK5BQX27,LSE,GBP
7KYd_EQ,7KY,Robinhood Markets,US7707001027,XETRA,EUR
CEBLd_EQ,CEBL,iShares MSCI EM Asia (Acc),IE00B5L8K969,XETRA,EUR
SNOW_US_EQ,SNOW,Snowflake,US8334451098,NYSE,USD
RYAAY_US_EQ,RYAAY,Ryanair,US7835132033,NASDAQ,USD
MNDIl_EQ,MNDI,Mondi,GB00BMWC6P49,LSE,GBX
NVDA_US_EQ,NVDA,Nvidia,US67066G1040,NASDAQ,USD
FB_US_EQ,META,Meta Platforms,US30303M1027,NASDAQ,USD
GOOGL_US_EQ,GOOGL,Alphabet (Class A),US02079K3059,NASDAQ,USD
MMM_US_EQ,MMM,3M,US88579Y1010,NYSE,USD
CYSEl_EQ,CYSE,WisdomTree Cybersecurity (Acc),IE00BLPK3577,LSE,GBX
P911d_EQ,P911,Porsche,DE000PAG9113,XETRA,EUR
NFLX_US_EQ,NFLX,Netflix,US64110L1061,NASDAQ,USD
TSLA_US_EQ,TSLA,Tesla,US88160R1014,NASDAQ,USD
3CNEl_EQ,3CNE,Leverage Shares 3x Long Coinbase COIN,XS2399367254,LSE,EUR
COIN_US_EQ,COIN,Coinbase,US19260Q1076,NASDAQ,USD
R2USl_EQ,R2US,SPDR Russell 2000 U.S. Small Cap (Acc),IE00BJ38QD84,LSE,USD
SXR8d_EQ,SXR8,iShares Core S&P 500 (Acc),IE00B5BMR087,XETRA,EUR
